nume_actiune,timestamp
Afișare cărți în ordine alfabetică,22/05/2021 01:40:18
Adăugare cititor nou în sistem,22/05/2021 01:40:46
Afișare cititori în ordine alfabetică,22/05/2021 01:40:52
Afișare cărți în ordine alfabetică,22/05/2021 01:44:57
Afișare informații despre carte,22/05/2021 01:45:17
